#{"t_start": 1729511790.5069196, "env_id": "CarRacingCustomTest-v0"}
r,l,t
23838.945282,1000,70.254095
51496.263039,1000,141.941289
42650.509036,1000,214.001729
25530.614184,1000,286.511805
48567.22825,1000,360.956466
26910.772387,1000,433.516213
35735.182943,1000,556.0354
36448.321794,1000,628.997381
49085.237307,1000,702.967874
51201.229096,1000,778.827486
54885.788799,1000,854.867964
58283.960793,1000,934.877368
44093.614002,1000,1062.899723
36848.800523,1000,1138.721794
69804.3824,1000,1216.544306
33865.76796,1000,1290.22191
75040.501985,1000,1370.198352
76595.650343,1000,1443.309024
51626.639454,1000,1571.729921
58101.117356,1000,1651.479257
57764.685431,1000,1741.093367
128533.403379,1000,1818.845551
92309.611684,1000,1894.857051
44812.84635,1000,1967.171042
60960.406307,1000,2038.030958
109902.712642,1000,2157.808612
155135.339025,1000,2226.555603
118581.392624,1000,2296.289088
141276.043455,1000,2368.102911
119239.205205,1000,2441.593588
67441.095687,1000,2543.235307
144993.600159,1000,2676.531382
44181.670641,1000,2797.045633
154963.473309,1000,2897.266541
54682.833579,1000,2996.759646
38594.685431,1000,3127.193642
153968.018764,1000,3258.807224
147183.89178,1000,3442.791878
268652.751588,1000,3573.16683
246330.809462,1000,3709.076768
186921.067544,1000,3850.502837
250139.079857,1000,3990.613999
207560.758038,1000,4121.243976
242769.992448,1000,4255.100038
219906.620588,1000,4335.305993
292806.802034,1000,4443.890946
184028.778258,1000,4547.614293
213778.188256,1000,4620.355892
291973.387892,1000,4693.565991
149800.734813,1000,4770.381533
207881.799683,1000,4902.30865
216228.259728,1000,4984.080994
196770.712367,1000,5068.962725
232321.003839,1000,5155.385843
226151.489838,1000,5239.61176
228685.379875,1000,5321.432921
226451.889732,1000,5456.210629
177438.481397,1000,5535.84191
222116.503612,1000,5615.883007
205398.515218,1000,5696.840178
259798.724158,1000,5776.050437
74233.990986,1000,5881.438708
198557.629154,1000,6118.328027
213978.649993,1000,6270.702218
162907.304478,1000,6409.142635
272183.705039,1000,6515.942912
213032.487628,1000,6590.846409
229066.37942,1000,6671.33242
187021.914868,1000,6815.517097
216213.793412,1000,6928.958127
293950.161621,1000,7036.917022
118967.314539,1000,7122.684863
121463.738608,1000,7205.746399
216363.304959,1000,7285.652779
244130.476102,1000,7369.359013
192329.923526,1000,7512.075049
244819.264316,1000,7599.151852
280639.061235,1000,7683.91243
237232.86518,1000,7771.186866
249288.58614,1000,7852.788109
189308.369641,1000,7938.132334
195278.018764,1000,8112.323503
237768.018764,1000,8207.685572
210909.591798,1000,8321.313084
182868.344497,1000,8442.759895
73891.568252,1000,8580.297558
255083.45994,1000,8720.605475
182351.764347,1000,8955.683853
