#{"t_start": 1729511790.5134616, "env_id": "CarRacingCustomTest-v0"}
r,l,t
246078.090706,1000,31464.077539
252526.79739,1000,31579.335701
159962.322561,1000,31647.140854
228008.48569,1000,31714.315331
132164.066195,1000,31781.50063
84752.08956,1000,31850.150046
80851.842293,1000,31914.964949
184089.787471,1000,32028.997681
193640.432557,1000,32096.377131
236248.720518,1000,32163.187994
272444.533916,1000,32230.674905
246216.166912,1000,32299.849826
124241.844267,1000,32367.149734
156662.89931,1000,32484.797934
154505.639343,1000,32555.346391
123529.332633,1000,32623.975078
145306.200582,1000,32691.989084
175003.54508,1000,32761.228422
179073.082055,1000,32830.453948
217628.692921,1000,32948.473736
232233.808238,1000,33017.304459
227016.503612,1000,33087.149304
151669.626481,1000,33157.799742
242252.824418,1000,33226.285572
154928.435431,1000,33294.722311
139363.054225,1000,33363.182595
214427.708686,1000,33478.791089
178531.352097,1000,33546.970895
225961.725058,1000,33613.920675
164032.680418,1000,33683.112323
97853.083699,1000,33758.639648
253848.720518,1000,33828.205684
159193.566209,1000,33969.474049
216415.330592,1000,34068.168358
200110.971784,1000,34137.636717
76865.201863,1000,34209.470938
228184.412207,1000,34279.479746
169556.176659,1000,34348.42447
79539.948589,1000,34470.146744
201105.026638,1000,34543.323294
233669.748868,1000,34617.075505
117872.244116,1000,34686.328386
152247.700039,1000,34754.703204
170922.467163,1000,34822.538668
125121.143764,1000,34941.030793
202946.590193,1000,35010.283883
177448.424169,1000,35083.674041
124174.752771,1000,35155.488067
143814.036463,1000,35228.752708
207924.868079,1000,35299.587027
221881.744254,1000,35369.854872
94930.233748,1000,35497.247136
205330.282915,1000,35568.538962
178912.958035,1000,35640.974298
35737.510289,1000,35713.641715
168551.821581,1000,35785.191376
185554.3824,1000,35861.489315
193380.139976,1000,36033.569343
173363.304959,1000,36133.502438
163621.590193,1000,36239.688663
270666.026732,1000,36342.401371
195951.069611,1000,36443.598913
244397.267776,1000,36544.201662
179019.992448,1000,36719.600888
144143.327406,1000,36822.747695
109437.368609,1000,36931.549725
190272.11971,1000,37025.830423
208531.655128,1000,37114.45092
85262.294858,1000,37204.262941
45610.215296,1000,37363.524457
162570.153995,1000,37458.974271
155548.641601,1000,37551.115549
120133.772189,1000,37620.484663
111540.35919,1000,37688.561807
73382.304478,1000,37756.970286
92146.742168,1000,37825.640275
96506.944938,1000,37944.611117
85140.495828,1000,38012.260558
163694.900484,1000,38080.176767
108532.149199,1000,38148.219344
203229.035713,1000,38216.697679
158070.457788,1000,38285.672813
242340.061775,1000,38404.92296
135859.748087,1000,38473.395749
195017.548545,1000,38542.778951
87937.499283,1000,38610.08612
94854.800373,1000,38685.763723
87996.197458,1000,38754.610697
125699.865898,1000,38874.683748
213900.895476,1000,38943.0473
139760.816548,1000,39011.507306
185784.18038,1000,39079.672513
159873.901117,1000,39146.013084
151734.47446,1000,39214.967465
142448.018764,1000,39335.836472
246686.537283,1000,39403.350918
175640.546237,1000,39471.128272
158498.787995,1000,39539.375169
172939.554345,1000,39607.196627
175480.299466,1000,39676.054485
81773.652567,1000,39744.516196
148642.766239,1000,39864.881476
265513.547219,1000,39932.930948
63423.191178,1000,40001.143322
188218.927855,1000,40069.830418
150986.567151,1000,40138.167707
149768.018764,1000,40206.78592
106798.055394,1000,40327.114239
134958.798906,1000,40394.516711
104227.059354,1000,40464.023167
95250.84085,1000,40533.796276
142018.668115,1000,40602.082553
110902.918093,1000,40670.983939
114830.981727,1000,40792.580715
205573.334379,1000,40861.020837
157802.887185,1000,40930.474752
136855.962026,1000,40998.737678
152450.913501,1000,41066.883296
188418.018764,1000,41136.179197
162478.363592,1000,41256.980733
161883.433784,1000,41324.497714
184211.029517,1000,41392.153668
130605.518764,1000,41460.230185
250790.729387,1000,41527.797867
165248.146969,1000,41595.400501
109504.898197,1000,41664.673723
103792.580167,1000,41785.499649
145276.215485,1000,41854.504194
76144.76295,1000,41924.251714
63961.239103,1000,41992.603069
105157.917754,1000,42060.763621
198898.64607,1000,42129.020621
133164.628933,1000,42249.910773
105009.790916,1000,42318.516582
112170.843623,1000,42385.250734
91184.095934,1000,42454.506879
159640.80788,1000,42524.107871
79055.166099,1000,42593.984975
116003.502635,1000,42712.541019
167768.689905,1000,42780.258971
170637.860034,1000,42848.650464
98025.645883,1000,42917.207598
152979.826882,1000,42984.860476
154766.585072,1000,43053.219268
151770.05958,1000,43173.48012
155891.655128,1000,43242.250157
148466.095687,1000,43311.602015
153374.685431,1000,43380.593811
158511.530214,1000,43448.577143
116376.512972,1000,43517.175188
96367.405267,1000,43586.220006
231261.651723,1000,43704.82666
182698.927855,1000,43773.101692
188921.806643,1000,43842.249382
207931.377543,1000,43910.194036
95136.768764,1000,43978.17299
206834.685431,1000,44047.217747
