#{"t_start": 1729508999.9042637, "env_id": "CarRacing-v2"}
r,l,t
-28.143713,1000,66.29225
-22.033898,1000,134.541364
-34.42623,1000,201.711577
-36.026936,1000,269.253386
-30.693069,1000,340.378582
-28.327645,1000,407.818351
-31.15942,1000,525.422484
-35.691318,1000,594.278811
-25.423729,1000,667.837171
120.640569,1000,737.509347
30.111524,1000,806.952099
-26.380368,1000,904.881043
-5.454545,1000,1055.720303
-17.322835,1000,1152.731171
-44.237918,1000,1220.580047
72.535211,1000,1291.60412
192.26361,1000,1377.802115
50.537634,1000,1473.182943
296.296296,1000,1612.013262
12.840467,1000,1705.501957
56.462585,1000,1781.024655
383.870968,1000,1861.286268
200.0,1000,1975.42787
175.747508,1000,2054.084546
60.409556,1000,2130.359721
287.205387,1000,2240.973019
36.137828,737,2295.341135
505.734767,1000,2369.323862
391.525424,1000,2444.280887
398.316498,1000,2519.586997
258.885017,1000,2594.254802
139.616613,1000,2714.33856
447.169811,1000,2789.622149
489.74359,1000,2863.430339
409.375,1000,2937.026627
-56.287459,818,2996.900406
189.002558,1000,3071.812175
616.312057,1000,3196.692493
-30.412111,620,3242.816631
609.803922,1000,3317.503083
19.130796,609,3361.439014
461.514196,1000,3435.493208
656.457565,1000,3509.912158
311.985019,1000,3585.987756
593.811075,1000,3713.698751
380.0,1000,3790.306188
693.89313,1000,3866.589904
544.012945,1000,3943.390396
187.581699,1000,4019.734216
547.457627,1000,4093.935075
579.365079,1000,4174.647753
249.206349,1000,4301.144221
637.226277,1000,4377.214125
600.757576,1000,4463.418344
728.244275,1000,4546.964989
725.27881,1000,4623.68078
524.548736,1000,4698.58264
710.035842,1000,4819.342896
544.95114,1000,4889.67849
619.626168,1000,4961.116499
698.701299,1000,5029.358574
617.171717,1000,5098.722032
738.345865,1000,5170.098382
260.655738,1000,5312.323825
714.685315,1000,5392.61488
584.563758,1000,5480.420346
742.307692,1000,5600.722644
694.676806,1000,5699.350591
529.251701,1000,5799.656727
683.783784,1000,6025.789294
656.849315,1000,6136.966958
544.688645,1000,6246.543235
828.571429,1000,6382.600454
179.863481,1000,6521.295061
592.883895,1000,6661.91478
781.679389,1000,6804.12033
612.962963,1000,6980.73154
421.604938,1000,7058.735789
803.225806,1000,7138.281407
485.034014,1000,7254.832683
811.971831,1000,7351.460879
627.915194,1000,7424.516628
695.053004,1000,7550.127506
225.077399,1000,7625.177761
449.019608,1000,7708.173725
509.907121,1000,7789.081465
469.395018,1000,7876.131222
670.642202,1000,7964.066413
871.530249,1000,8102.30135
332.055749,1000,8181.932762
835.483871,1000,8262.187238
901.8,982,8342.450364
841.176471,1000,8422.360131
875.778547,1000,8503.788272
904.5,955,8580.53561
745.637584,1000,8787.907435
757.692308,1000,8929.415219
747.826087,1000,9082.366634
669.491525,1000,9212.030061
80.451128,1000,9313.88045
636.05948,1000,9388.825678
44.827586,1000,9526.767698
745.323741,1000,9611.960484
796.678967,1000,9730.624419
619.178082,1000,9833.901475
465.749235,1000,9919.290686
666.323024,1000,10002.22297
83.659824,921,10131.704321
831.034483,1000,10215.921843
911.1,889,10289.915966
510.497238,1000,10377.849253
620.496894,1000,10464.94886
643.421053,1000,10550.496451
175.848505,897,10624.974395
857.446809,1000,10777.148144
771.886121,1000,10886.264631
803.703704,1000,10974.209136
287.362637,1000,11086.503089
739.041096,1000,11201.264625
855.284553,1000,11342.044506
374.747475,1000,11575.256705
661.437908,1000,11719.527713
555.384615,1000,11863.803556
203.567399,958,11998.679879
806.25,1000,12139.634262
620.588235,1000,12283.150365
638.181818,1000,12516.259403
859.558824,1000,12590.909354
732.191781,1000,12670.06599
621.518987,1000,12758.477337
763.309353,1000,12889.720008
804.929577,1000,13032.47536
441.033435,1000,13223.342778
711.188811,1000,13330.148133
692.387543,1000,13430.454121
609.570957,1000,13531.212706
724.175824,1000,13670.165505
643.772242,1000,13828.782565
630.407524,1000,13986.777397
759.259259,1000,14250.155918
483.596215,1000,14409.883234
684.313725,1000,14572.55767
681.818182,1000,14725.429746
841.176471,1000,14893.820138
522.535211,1000,15052.949218
703.508772,1000,21781.809749
663.250883,1000,21861.308592
536.015326,1000,21935.504303
792.307692,1000,22008.477773
693.706294,1000,22088.256434
740.989399,1000,22177.324935
629.483283,1000,22310.506211
869.69697,1000,22398.517314
724.915825,1000,22475.359353
444.520548,1000,22554.831965
692.763158,1000,22632.293206
400.0,1000,22750.195892
732.653061,1000,22893.95588
740.57971,1000,22962.895268
815.750916,1000,23030.549072
625.752508,1000,23100.82445
789.705882,1000,23172.822406
856.20438,1000,23250.154384
841.37931,1000,23324.919394
677.04918,1000,23454.84076
634.219269,1000,23531.161107
725.0,1000,23605.910463
887.903226,1000,23682.616185
845.762712,1000,23761.885789
554.205607,1000,23840.616984
585.897436,1000,23971.061093
822.807018,1000,24047.648622
684.946237,1000,24125.087849
453.072626,1000,24202.20328
670.700637,1000,24296.438777
687.974684,1000,24387.877532
886.394558,1000,24523.964486
548.414986,1000,24606.280275
761.736334,1000,24676.641676
684.671533,1000,24751.079437
896.138996,1000,24834.284499
902.2,978,24916.887416
722.429907,1000,25048.377367
416.224189,1000,25122.051746
747.972973,1000,25196.692127
752.090032,1000,25279.724612
557.142857,1000,25360.147917
712.94964,1000,25439.247457
641.312741,1000,25513.699932
885.915493,1000,25644.868988
667.123288,1000,25724.449369
-52.706109,557,25769.492846
802.356902,1000,25844.900946
680.185759,1000,25916.751479
882.014388,1000,25998.45699
797.350993,1000,26125.171603
750.0,1000,26198.809789
731.372549,1000,26297.842193
673.88535,1000,26405.911793
888.142292,1000,26515.910382
766.666667,1000,26624.151995
722.393822,1000,26735.721538
689.644013,1000,26919.848804
876.109215,1000,27029.433981
909.8,902,27126.8917
832.20339,1000,27235.978772
690.996785,1000,27342.663402
879.381443,1000,27452.830129
181.060736,718,27600.808298
907.6,924,27701.538479
688.395904,1000,27802.647983
718.181818,1000,27905.53051
800.0,1000,28009.537324
178.386517,925,28101.063683
900.7,993,28202.183544
397.633813,852,28367.994095
687.301587,1000,28457.388544
901.5,985,28524.801076
902.3,977,28594.306883
901.6,984,28668.858093
901.1,989,28737.521287
828.327645,1000,28851.831021
884.90566,1000,28921.883692
656.493506,1000,28989.736187
864.664311,1000,29058.608271
320.452941,870,29120.055564
680.952381,1000,29189.71932
901.8,982,29303.098745
276.540694,999,29373.333992
844.852941,1000,29442.89943
707.073955,1000,29511.466048
799.053628,1000,29581.588202
231.230284,1000,29650.271426
907.8,922,29715.434479
823.58804,1000,29833.871922
797.810219,1000,29906.212176
817.197452,1000,29979.850533
749.65035,1000,30052.327722
733.876221,1000,30123.427767
853.020134,1000,30196.483491
882.206406,1000,30315.740101
-50.943396,1000,30386.1462
-30.683459,774,30440.058072
867.625899,1000,30510.862085
501.715254,933,30575.362665
663.333333,1000,30655.610914
668.025078,1000,30729.624607
816.376307,1000,30847.713304
683.505155,1000,30917.15243
-116.527869,863,30976.695255
848.453608,1000,31051.299195
581.114551,1000,31120.454798
892.957746,1000,31189.844956
530.914826,1000,31342.167895
888.847584,1000,31432.599867
871.119134,1000,31525.388433
891.967871,1000,31618.203879
759.778598,1000,31710.845822
866.442953,1000,31805.162359
835.483871,1000,31956.465442
657.097792,1000,32053.841576
809.407666,1000,32142.85512
695.302013,1000,32236.832317
581.318681,1000,32325.42434
712.94964,1000,32395.601049
410.574018,1000,32516.013743
882.142857,1000,32586.248989
823.344948,1000,32684.642949
903.2,968,32778.464271
364.516129,1000,32874.120878
717.518248,1000,32982.189474
847.916667,1000,33089.085353
805.263158,1000,33260.900184
902.4,976,33355.392102
381.062069,949,33448.401041
896.632997,1000,33542.672142
824.398625,1000,33619.355622
827.051672,1000,33686.604624
663.578275,1000,33800.984768
578.456592,1000,33868.842336
723.529412,1000,33936.823013
800.662252,1000,34004.697363
854.983923,1000,34072.764052
821.985816,1000,34142.184592
846.127946,1000,34258.021819
854.225352,1000,34326.562329
900.4,996,34395.277637
679.783394,1000,34463.540339
755.595668,1000,34531.300955
856.363636,1000,34599.644866
773.015873,1000,34668.143088
769.565217,1000,34783.153099
638.255034,1000,34851.875185
832.330827,1000,34920.05124
660.655738,1000,34987.882532
351.612903,1000,35058.125238
719.935691,1000,35126.106793
671.331058,1000,35241.806989
830.656934,1000,35313.117783
782.562278,1000,35383.172883
443.40836,1000,35451.962306
663.975155,1000,35521.897587
706.69145,1000,35591.008336
538.888889,1000,35710.614187
738.827839,1000,35779.806017
681.818182,1000,35849.790137
696.666667,1000,35919.992797
834.027778,1000,35989.547207
529.508197,1000,36058.983368
832.885906,1000,36176.649102
743.137255,1000,36244.922023
-9.967846,1000,36312.332905
561.538462,1000,36380.133264
855.555556,1000,36450.48845
561.971831,1000,36525.079572
293.846154,1000,36597.701997
195.96548,778,36706.657305
696.610169,1000,36803.7893
617.532468,1000,36889.623002
646.666667,1000,36960.047637
502.150538,1000,37031.228955
578.688525,1000,37099.868678
50.579151,1000,37217.193022
284.126984,1000,37289.763169
855.782313,1000,37363.918489
459.210526,1000,37434.929184
398.461538,1000,37504.716189
648.201439,1000,37573.905725
535.782748,1000,37692.750907
837.062937,1000,37761.79737
698.192771,1000,37834.990429
662.057878,1000,37906.794304
841.860465,1000,37980.101995
709.52381,1000,38052.784955
790.410959,1000,38124.893879
815.309446,1000,38250.885133
866.41791,1000,38323.783509
738.187702,1000,38396.423351
606.896552,1000,38469.463784
799.122807,1000,38541.289757
688.07947,1000,38613.09739
813.793103,1000,38777.419032
203.225806,1000,38879.639684
675.577558,1000,38983.109117
780.794702,1000,39086.347579
712.698413,1000,39191.063693
906.0,940,39286.287922
758.657244,1000,39459.996966
802.28013,1000,39560.269081
715.047022,1000,39667.477615
212.076133,989,39767.725168
