#{"t_start": 1729508999.8987021, "env_id": "CarRacing-v2"}
r,l,t
-16.955017,1000,66.174448
-32.58427,1000,134.422323
-40.983607,1000,201.593295
-5.30303,1000,269.134286
-34.85342,1000,340.263482
-34.931507,1000,407.702343
-26.751592,1000,525.30351
-47.058824,1000,594.155553
-23.322684,1000,667.718889
-25.0,1000,737.388288
110.332103,1000,806.829684
87.725632,1000,904.551087
49.635036,1000,1055.598028
48.876404,1000,1152.61416
-14.893617,1000,1220.461063
158.169935,1000,1291.484682
68.067227,1000,1377.5345
257.142857,1000,1473.051796
74.904943,1000,1611.749022
-7.216495,1000,1705.371608
59.36255,1000,1780.892785
-26.517572,1000,1861.05349
77.474403,1000,1975.297218
-20.792079,1000,2053.863835
320.138889,1000,2130.235584
-28.931579,764,2224.244187
356.140351,1000,2297.132588
236.734694,1000,2371.127255
-46.172464,912,2439.840294
296.153846,1000,2512.679363
357.792208,1000,2587.435029
504.240283,1000,2709.760425
60.409556,1000,2785.36425
578.700361,1000,2858.947313
31.201845,534,2899.344682
213.721933,953,2969.379189
375.15528,1000,3043.637603
406.451613,1000,3118.684782
42.335766,1000,3241.886542
630.337079,1000,3316.528829
33.986928,1000,3390.451183
444.262295,1000,3464.838545
33.105802,1000,3539.865355
34.831461,1000,3616.220065
35.59322,1000,3744.064387
575.090253,1000,3820.953673
224.324324,1000,3897.287158
575.159236,1000,3974.542755
609.897611,1000,4049.259742
251.973684,1000,4124.442143
524.161074,1000,4252.273954
676.0,1000,4329.212267
183.378747,1000,4404.479643
375.15528,1000,4495.119839
656.013746,1000,4575.551606
752.631579,1000,4651.360196
879.166667,1000,4725.965671
413.196481,1000,4845.130868
70.731707,1000,4915.115233
265.446809,921,4980.987293
762.318841,1000,5049.119885
50.0,1000,5118.628505
776.923077,1000,5191.931062
847.735192,1000,5341.561189
797.058824,1000,5414.396612
483.850932,1000,5524.778468
661.290323,1000,5629.262901
778.90625,1000,5727.468195
343.661972,1000,5831.517345
704.511278,1000,6058.247251
754.014599,1000,6169.49795
