#{"t_start": 1729508999.907264, "env_id": "CarRacing-v2"}
r,l,t
-16.666667,1000,66.320236
-31.15942,1000,134.569306
-25.0,1000,201.741465
-21.428571,1000,269.283392
-41.747573,1000,340.408697
-16.955017,1000,407.845369
-36.708861,1000,525.451189
-43.113772,1000,594.305811
-21.383648,1000,667.866189
-35.849057,1000,737.535323
6.557377,1000,806.98183
-17.525773,1000,904.949291
-11.184211,1000,1055.747325
-25.0,1000,1152.759339
34.615385,1000,1220.608046
199.638989,1000,1291.635125
60.784314,1000,1377.86395
247.826087,1000,1473.217588
285.579937,1000,1612.072228
-6.040268,1000,1705.532148
343.223443,1000,1781.056429
49.006623,1000,1861.381637
368.992248,1000,1975.456541
311.960133,1000,2054.157295
378.723404,1000,2130.389453
413.245033,1000,2241.004721
393.288591,1000,2313.896414
475.539568,1000,2388.219099
232.344214,1000,2463.288396
305.572755,1000,2538.452257
338.405797,1000,2613.057857
-50.809964,897,2728.548755
57.692308,1000,2803.042444
189.233333,942,2873.058843
620.0,1000,2946.651796
445.762712,1000,3017.621082
254.243542,1000,3093.012192
520.689655,1000,3217.000413
646.666667,1000,3290.325134
597.674419,1000,3365.234584
497.359736,1000,3439.30035
521.428571,1000,3513.892191
576.666667,1000,3590.13702
248.684211,1000,3717.775353
291.167192,1000,3794.316006
32.352941,1000,3870.588149
551.567944,1000,3947.489098
520.253165,1000,4023.827382
573.835125,1000,4097.783096
555.688623,1000,4178.493144
647.292419,1000,4305.035352
642.268041,1000,4381.174906
653.623188,1000,4467.712838
573.469388,1000,4550.959363
726.086957,1000,4627.627983
760.902256,1000,4702.659728
790.84507,1000,4823.027126
676.271186,1000,4893.341835
752.233677,1000,4964.742753
680.141844,1000,5032.868758
648.322148,1000,5102.38706
670.76412,1000,5174.120912
272.307692,1000,5317.937079
552.307692,1000,5396.308452
86.615607,736,5458.668825
250.0,1000,5580.676329
812.087912,1000,5680.339676
777.133106,1000,5775.275316
817.910448,1000,5900.787753
896.047431,1000,6114.416871
739.857651,1000,6222.204675
700.78125,1000,6350.217361
770.036101,1000,6488.891309
74.377224,1000,6629.222733
560.550459,1000,6771.261691
725.938567,1000,6961.586671
415.337423,1000,7042.168431
716.254417,1000,7122.271169
697.101449,1000,7231.553335
771.428571,1000,7335.9074
440.350877,1000,7409.515128
621.804511,1000,7534.443687
260.0,1000,7609.651116
910.6,894,7682.391549
802.597403,1000,7764.44194
871.07438,1000,7849.440808
313.559322,1000,7938.268425
904.0,960,8020.052353
612.230216,1000,8153.711471
526.959248,1000,8234.705809
808.450704,1000,8315.72317
523.794212,1000,8396.209664
758.085809,1000,8477.764597
232.307692,1000,8557.898624
673.700306,1000,8746.149266
882.078853,1000,8887.693968
-11.032028,1000,9037.12294
511.842105,1000,9179.014117
700.687285,1000,9292.496772
647.368421,1000,9368.022101
69.811321,1000,9500.672255
788.059701,1000,9586.451905
388.439306,1000,9689.326294
285.496183,1000,9811.913883
680.730897,1000,9891.738903
614.285714,1000,9975.2212
716.254417,1000,10111.724297
577.419355,1000,10195.614442
830.06993,1000,10281.201401
296.774194,1000,10368.191042
705.555556,1000,10456.832908
802.621723,1000,10540.26151
417.964072,1000,10624.681841
406.17284,1000,10776.707101
732.807571,1000,10885.974961
530.508475,1000,10973.841086
605.696203,1000,11086.143896
206.184326,889,11185.975761
302.332362,1000,11326.28464
400.413011,982,11557.07439
444.412607,1000,11701.163239
900.1,999,11845.385863
877.375566,1000,11986.345504
415.748031,1000,12127.295959
634.265734,1000,12269.302284
887.654321,1000,12509.912118
749.264706,1000,12584.305176
828.571429,1000,12663.444428
797.959184,1000,12749.336548
595.652174,1000,12875.353084
520.253165,1000,13020.330422
-25.960839,869,13126.277125
901.2,988,13307.757474
705.343511,1000,13408.364074
729.710145,1000,13508.980495
626.688103,1000,13629.639076
614.285714,1000,13788.277476
442.586751,1000,13945.757951
706.020067,1000,14209.332011
554.275093,1000,14369.035546
599.029126,1000,14531.692508
703.921569,1000,14687.220524
693.357934,1000,14848.284632
715.436242,1000,15022.532656
600.96463,1000,21754.000711
627.272727,1000,21845.18257
880.392157,1000,21918.067137
443.478261,1000,21993.392819
751.145038,1000,22069.542104
663.513514,1000,22155.117692
759.15493,1000,22291.551144
774.100719,1000,22380.030885
578.343949,1000,22457.978303
874.264706,1000,22536.899171
628.971963,1000,22614.177517
790.151515,1000,22724.232738
686.833856,1000,22830.37361
858.801498,1000,22947.720342
767.986799,1000,23015.114856
740.255591,1000,23085.477537
814.285714,1000,23156.25827
277.622378,1000,23232.104303
521.621622,1000,23308.094472
760.215054,1000,23437.108772
401.474926,1000,23514.198463
880.620155,1000,23589.129233
675.974026,1000,23665.531049
782.550336,1000,23743.909496
859.731544,1000,23823.249943
712.5,1000,23953.687975
853.068592,1000,24030.567281
904.0,960,24104.414554
600.325733,1000,24182.285702
560.899654,1000,24268.723231
879.452055,1000,24369.588767
838.983051,1000,24502.733727
858.477509,1000,24582.140605
786.435331,1000,24655.534285
620.306513,1000,24728.471216
690.163934,1000,24811.979108
619.298246,1000,24891.398623
-13.425478,855,24964.652778
861.977186,1000,25091.137394
905.0,950,25162.225344
784.615385,1000,25237.539633
910.1,899,25315.908602
862.184874,1000,25394.063605
546.103896,1000,25473.587203
882.817869,1000,25601.997363
648.175182,1000,25682.782892
896.363636,1000,25762.036716
810.447761,1000,25837.768902
447.78495,978,25907.978758
686.764706,1000,25989.404638
907.5,925,26059.391241
702.547771,1000,26184.685658
848.0,1000,26278.114273
910.9,891,26373.268665
308.581967,866,26465.61891
682.208589,1000,26575.318846
667.213115,1000,26685.158695
167.454023,746,26841.407442
708.441558,1000,26951.701556
674.509804,1000,27062.089582
906.6,934,27161.495695
237.098413,757,27247.016526
758.934169,1000,27352.215348
712.297735,1000,27462.545148
903.5,965,27642.046288
893.150685,1000,27745.815367
657.377049,1000,27842.997016
854.887218,1000,27946.890044
905.1,949,28045.144223
826.282051,1000,28144.555947
889.090909,1000,28324.20534
781.656805,1000,28428.029526
903.6,964,28494.365482
892.537313,1000,28564.42267
861.165049,1000,28640.0571
704.560261,1000,28709.739157
848.979592,1000,28823.953753
677.429467,1000,28894.298234
886.622074,1000,28964.43087
-43.66875,883,29024.992584
879.020979,1000,29096.117944
659.322034,1000,29165.154202
541.975309,1000,29233.807926
609.090909,1000,29350.07937
832.475884,1000,29420.35826
637.931034,1000,29488.454342
889.51049,1000,29558.070818
817.241379,1000,29627.099885
878.021978,1000,29697.69432
901.5,985,29813.960009
699.319728,1000,29887.808678
-144.581679,943,29957.439435
764.768683,1000,30028.48082
559.163987,1000,30100.605488
644.755245,1000,30172.798759
617.877095,1000,30293.294732
658.957655,1000,30363.641974
670.491803,1000,30432.836483
727.361564,1000,30500.283333
239.339339,1000,30572.365259
348.170732,1000,30651.924325
666.18705,1000,30726.610162
697.583082,1000,30844.763877
888.929889,1000,30913.972438
751.132686,1000,30983.267736
885.915493,1000,31057.404613
885.611511,1000,31126.657332
799.350649,1000,31196.067191
889.795918,1000,31349.924216
902.8,972,31438.003487
343.104918,947,31526.385424
830.0,1000,31619.298115
858.62069,1000,31711.952668
879.094077,1000,31806.068409
888.593156,1000,31957.400213
532.075472,1000,32054.856613
885.915493,1000,32143.722251
686.885246,1000,32238.436755
628.476821,1000,32326.308801
888.80597,1000,32396.441724
868.19788,1000,32516.859014
712.94964,1000,32587.039208
809.090909,1000,32685.785162
869.491525,1000,32782.522788
889.051095,1000,32878.176263
641.214058,1000,32986.875309
866.777409,1000,33092.970679
892.857143,1000,33264.666219
888.326848,1000,33361.636571
393.421053,1000,33459.427245
902.1,979,33552.465372
867.741935,1000,33626.169117
661.146497,1000,33695.345984
869.924812,1000,33809.592112
742.424242,1000,33877.794838
877.358491,1000,33945.467094
787.159533,1000,34011.260469
690.849673,1000,34079.643966
694.425087,1000,34148.759711
784.488449,1000,34264.531059
911.7,883,34325.368579
892.395437,1000,34394.323069
850.530035,1000,34462.596985
650.877193,1000,34530.308046
603.927492,1000,34598.724081
711.764706,1000,34667.224045
698.586572,1000,34782.23507
900.5,995,34850.693998
912.0,880,34910.954116
878.723404,1000,34978.854355
540.57971,1000,35048.314327
806.666667,1000,35116.970579
693.548387,1000,35232.438665
717.204301,1000,35303.95472
902.0,980,35372.85865
901.1,989,35440.7479
788.501742,1000,35510.316863
516.438356,1000,35579.97563
751.485149,1000,35698.712296
754.961832,1000,35768.485124
871.731449,1000,35838.316498
904.2,958,35905.731115
635.099338,1000,35975.573067
573.015873,1000,36045.052607
327.21519,1000,36113.990497
902.8,972,36227.078455
888.593156,1000,36294.434313
740.148699,1000,36361.919868
882.269504,1000,36430.802346
711.643836,1000,36503.00654
607.070707,1000,36579.122313
782.154882,1000,36705.301938
655.952381,1000,36802.113123
805.537459,1000,36888.569044
672.108844,1000,36958.907082
609.163347,1000,37030.175775
286.666667,1000,37098.801746
253.405195,915,37210.311033
873.977695,1000,37282.007288
831.506849,1000,37356.210531
75.824176,1000,37428.323789
542.857143,1000,37498.066757
585.810811,1000,37567.361374
837.931034,1000,37686.040342
588.046647,1000,37755.356797
800.684932,1000,37827.993754
716.901408,1000,37899.947036
757.142857,1000,37972.845893
900.7,993,38045.52984
717.337461,1000,38117.672761
703.225806,1000,38243.357856
889.247312,1000,38316.619939
788.111888,1000,38388.946628
755.263158,1000,38462.085678
775.0,1000,38533.819605
729.113924,1000,38605.777556
841.580756,1000,38768.062465
728.660436,1000,38869.417522
862.457338,1000,38973.260201
677.39726,1000,39076.2862
561.129568,1000,39180.394623
910.4,896,39268.259189
678.985507,1000,39440.818786
896.240602,1000,39540.990806
910.7,893,39634.291073
825.423729,1000,39741.97882
905.8,942,39830.645178
862.068966,1000,39919.977477
804.290429,1000,40008.399956
856.043956,1000,40170.026774
874.264706,1000,40264.679824
849.458484,1000,40354.73093
799.665552,1000,40424.078958
572.077922,1000,40493.074239
908.1,919,40556.58128
638.505747,1000,40676.917562
757.142857,1000,40744.872223
896.478873,1000,40813.65916
900.0,1000,40882.687223
903.7,963,40948.801397
904.2,958,41013.880861
803.846154,1000,41133.868187
501.226994,1000,41202.539673
910.8,892,41263.520198
871.014493,1000,41330.232639
686.743516,1000,41399.356768
795.306859,1000,41474.455603
765.248227,1000,41544.183318
729.581994,1000,41663.921938
845.454545,1000,41732.691898
712.5,1000,41801.635523
716.455696,1000,41870.741427
723.754789,1000,41939.680007
644.479495,1000,42008.898197
754.368932,1000,42128.764787
836.026936,1000,42195.983621
785.017422,1000,42263.825785
477.639752,1000,42333.63086
707.570978,1000,42401.921004
893.031359,1000,42470.871685
608.978328,1000,42592.486634
370.958389,929,42656.761887
811.971831,1000,42725.532259
865.277778,1000,42793.768091
724.451411,1000,42862.496568
420.418996,890,42923.063299
907.5,925,42986.195101
670.700637,1000,43105.227759
672.277228,1000,43173.367024
707.073955,1000,43242.899936
836.241611,1000,43312.845113
-12.886207,854,43369.521679
907.3,927,43432.454585
776.712329,1000,43551.675997
188.814734,1000,43620.501829
694.425087,1000,43689.354053
715.625,1000,43758.880738
799.68652,1000,43827.206494
482.317073,1000,43895.868187
660.655738,1000,44015.504441
626.11465,1000,44083.981575
830.894309,1000,44152.019559
903.1,969,44218.246455
882.758621,1000,44286.263748
690.625,1000,44353.870785
863.210702,1000,44422.420095
723.343849,1000,44542.631208
637.654321,1000,44610.969055
681.045752,1000,44679.761323
902.3,977,44746.788408
544.95114,1000,44815.039526
530.363036,1000,44883.036702
911.6,884,44996.16375
580.124224,1000,45063.608371
696.052632,1000,45132.931659
646.268657,1000,45201.051573
892.857143,1000,45268.141934
285.084211,887,45330.334871
578.200692,1000,45446.085093
720.512821,1000,45514.078074
862.686567,1000,45581.965638
594.864048,1000,45650.414869
865.397924,1000,45718.300628
880.620155,1000,45786.197096
725.242718,1000,45854.740218
865.517241,1000,45974.381699
864.401294,1000,46042.693265
679.783394,1000,46111.584643
290.572391,1000,46180.510285
323.676012,1000,46249.667274
553.846154,1000,46318.294822
607.142857,1000,46436.457169
841.979522,1000,46505.092878
823.875433,1000,46574.183328
900.8,992,46642.444921
459.006211,1000,46710.2129
660.869565,1000,46778.813107
873.421927,1000,46899.283205
801.023891,1000,46968.239908
626.666667,1000,47036.944758
584.01487,1000,47105.031784
678.846154,1000,47173.567575
684.565916,1000,47242.060683
779.858657,1000,47361.508765
901.8,982,47428.463247
727.81457,1000,47496.195912
772.909699,1000,47564.595111
732.317073,1000,47632.617203
752.112676,1000,47701.271061
725.203252,1000,47769.078394
726.625387,1000,47887.766469
819.871795,1000,47956.034874
614.285714,1000,48024.577826
478.171091,1000,48093.471456
803.97351,1000,48162.24931
906.9,931,48225.995858
833.566434,1000,48343.936889
801.754386,1000,48409.471275
731.125828,1000,48477.88584
905.7,943,48543.313796
832.142857,1000,48611.342157
888.929889,1000,48679.560553
883.443709,1000,48799.079074
901.0,990,48867.087515
868.421053,1000,48935.589797
839.716312,1000,49004.163599
693.333333,1000,49073.170891
713.333333,1000,49141.547746
905.4,946,49206.309735
701.829268,1000,49324.544544
775.796178,1000,49392.743684
878.021978,1000,49460.969555
826.056338,1000,49530.343492
524.624625,1000,49599.84682
777.887789,1000,49668.599759
911.1,889,49781.746964
881.549815,1000,49850.333404
546.892655,1000,49918.804951
632.673267,1000,49987.821373
827.797834,1000,50057.176963
896.402878,1000,50124.8377
866.101695,1000,50245.209536
732.258065,1000,50314.496064
908.3,917,50377.103423
907.5,925,50438.917622
859.70696,1000,50507.813693
797.435897,1000,50577.046898
784.353741,1000,50645.483013
691.519435,1000,50764.426294
564.495114,1000,50833.028787
687.878788,1000,50901.653408
620.848057,1000,50970.300599
573.400673,1000,51038.399083
613.333333,1000,51106.075013
560.714286,1000,51226.681296
764.768683,1000,51296.293016
823.664122,1000,51365.853601
793.333333,1000,51435.298577
500.0,1000,51504.691884
728.767123,1000,51573.223393
675.167785,1000,51695.700593
863.69637,1000,51765.294664
784.735202,1000,51833.60178
333.427027,937,51898.660008
901.5,985,51966.468563
859.259259,1000,52034.046775
248.993289,1000,52101.74919
602.702703,1000,52222.436322
673.049645,1000,52291.385184
888.721805,1000,52360.893005
839.929329,1000,52429.409678
143.076923,1000,52497.476754
710.631229,1000,52565.619195
757.142857,1000,52685.649448
265.384615,1000,52754.187721
772.659176,1000,52823.390864
703.508772,1000,52892.786467
872.318339,1000,52960.678241
853.23741,1000,53028.815068
902.7,973,53148.565526
777.256318,1000,53216.517812
616.41791,1000,53285.767516
578.44523,1000,53351.998609
715.384615,1000,53420.375918
680.645161,1000,53488.187023
886.254296,1000,53610.820737
725.938567,1000,53679.601781
848.805461,1000,53747.87456
904.9,951,53814.108612
829.765886,1000,53882.185102
682.758621,1000,53950.624367
241.463415,1000,54019.719665
676.061776,1000,54141.912004
707.189542,1000,54210.698115
723.920266,1000,54279.509501
672.108844,1000,54348.879036
831.147541,1000,54417.693686
681.456954,1000,54486.438584
839.716312,1000,54608.055039
849.21875,1000,54676.513071
665.676568,1000,54745.293527
832.270916,1000,54814.072818
795.238095,1000,54883.584789
365.034965,1000,54951.881943
901.2,988,55071.958681
547.651007,1000,55140.458574
743.648208,1000,55208.879924
461.403509,1000,55278.091929
313.559322,1000,55346.872327
905.5,945,55411.756264
642.268041,1000,55537.148552
677.003484,1000,55606.347018
481.717452,1000,55675.292031
753.242321,1000,55745.337969
745.117845,1000,55814.175998
779.725086,1000,55882.359595
903.3,967,55949.15596
807.47331,1000,56070.773286
814.675768,1000,56136.954349
576.870748,1000,56204.829839
686.184211,1000,56272.833599
664.179104,1000,56341.873573
758.62069,1000,56410.627602
790.410959,1000,56532.934575
630.627306,1000,56600.898043
721.782178,1000,56670.126998
892.45283,1000,56738.879925
812.408759,1000,56807.164513
126.277372,1000,56875.442836
774.576271,1000,56996.635867
242.756184,1000,57066.192274
