#{"t_start": 1729508999.90225, "env_id": "CarRacing-v2"}
r,l,t
633.118971,1000,22337.360157
722.742475,1000,22418.695603
794.160584,1000,22496.498097
740.0,1000,22576.513219
546.464646,1000,22663.635658
717.204301,1000,22777.670565
636.334405,1000,22911.014127
578.929766,1000,22979.458023
639.776952,1000,23048.437589
628.301887,1000,23117.885322
487.188612,1000,23190.786351
805.594406,1000,23268.320538
817.562724,1000,23395.024188
662.452107,1000,23473.722141
709.688581,1000,23549.033047
652.542373,1000,23624.783738
792.720307,1000,23701.829302
553.846154,1000,23780.904434
552.631579,1000,23859.295042
680.0,1000,23989.604759
299.951095,892,24057.957743
583.544304,1000,24135.663472
875.609756,1000,24212.635266
699.295775,1000,24310.918459
862.328767,1000,24397.450599
868.858131,1000,24535.219492
889.285714,1000,24616.292182
680.780781,1000,24686.538748
601.754386,1000,24761.534986
708.176101,1000,24844.512384
848.805461,1000,24931.309887
279.414201,911,25053.680326
411.695906,1000,25127.48041
509.929078,1000,25202.314925
864.285714,1000,25285.765378
833.797909,1000,25365.624708
680.487805,1000,25444.803686
907.7,923,25513.650293
732.752613,1000,25644.818422
725.454545,1000,25724.395546
347.769811,995,25802.138071
786.120996,1000,25875.434634
885.454545,1000,25947.740918
332.066667,847,26018.943848
680.487805,1000,26145.715765
791.373802,1000,26220.168071
191.316993,846,26310.773947
667.857143,1000,26419.496154
786.363636,1000,26530.209333
753.479853,1000,26638.223969
862.328767,1000,26823.200821
903.4,966,26929.590945
761.209964,1000,27039.160398
868.309859,1000,27146.751487
818.819188,1000,27256.817518
662.057878,1000,27363.330636
889.051095,1000,27472.900508
705.309735,1000,27655.180001
777.022654,1000,27758.212682
885.611511,1000,27860.826758
896.453901,1000,27964.948177
755.218855,1000,28065.148713
903.5,965,28163.476768
900.1,999,28338.448121
345.901639,1000,28438.184901
854.545455,1000,28506.339492
888.929889,1000,28576.916968
787.681159,1000,28652.876619
718.181818,1000,28722.364489
753.896104,1000,28836.553588
803.030303,1000,28906.822533
900.4,996,28976.830379
795.910781,1000,29045.467677
691.808874,1000,29115.868902
834.931507,1000,29185.47761
902.6,974,29252.649464
-11.776254,490,29333.822033
82.9653,1000,29403.737573
585.185185,1000,29472.673418
900.3,997,29541.88877
711.728395,1000,29611.440855
672.151899,1000,29681.432392
745.659164,1000,29798.236311
885.074627,1000,29871.867265
865.753425,1000,29943.563804
698.107256,1000,30014.52283
829.530201,1000,30086.83214
706.153846,1000,30159.090775
713.793103,1000,30230.411009
639.549839,1000,30349.535929
624.590164,1000,30418.951334
531.268437,1000,30488.655281
871.014493,1000,30560.5116
836.842105,1000,30638.475682
889.208633,1000,30714.176108
446.099291,1000,30833.414998
835.114504,1000,30902.405966
643.333333,1000,30971.336512
546.258503,1000,31045.96428
699.319728,1000,31114.978047
884.615385,1000,31184.549662
504.810997,1000,31335.63951
889.208633,1000,31426.279408
909.4,906,31508.77231
698.701299,1000,31602.263012
207.462687,1000,31693.593057
750.793651,1000,31788.614882
893.006993,1000,31941.530443
632.026144,1000,32037.897261
543.109541,1000,32126.262305
500.638978,1000,32219.487082
673.584906,1000,32313.871473
663.69863,1000,32384.177064
835.59322,1000,32455.16499
866.037736,1000,32574.772364
822.330097,1000,32670.103673
636.30137,1000,32764.978019
876.666667,1000,32860.619234
910.3,897,32952.84848
896.389892,1000,33059.683207
896.309963,1000,33232.399113
714.285714,1000,33331.275861
904.8,952,33425.536889
918.8,812,33504.82837
914.4,856,33577.942396
799.305556,1000,33650.334182
907.7,923,33713.779248
888.28125,1000,33827.772127
755.737705,1000,33895.783354
779.858657,1000,33963.636331
832.624113,1000,34031.643735
788.489209,1000,34100.284199
525.429553,1000,34169.509715
694.788274,1000,34285.234019
597.080292,1000,34354.136708
703.571429,1000,34422.71743
664.516129,1000,34490.716017
738.827839,1000,34558.505289
904.7,953,34624.049507
497.560976,1000,34739.800634
896.632997,1000,34805.187549
801.694915,1000,34874.139948
750.746269,1000,34942.260492
701.26183,1000,35010.109105
812.751678,1000,35079.747004
647.404844,1000,35194.257534
704.635762,1000,35264.524294
717.307692,1000,35335.532034
875.438596,1000,35405.328713
683.13253,1000,35474.603263
46.520147,1000,35543.947368
770.967742,1000,35613.245871
537.820513,1000,35732.896612
675.577558,1000,35801.988209
753.658537,1000,35871.361625
525.0,1000,35942.173367
838.931298,1000,36011.781391
577.61194,1000,36081.348242
477.319588,1000,36199.258665
811.347518,1000,36266.650306
889.130435,1000,36334.033315
780.546075,1000,36402.106122
690.909091,1000,36473.013629
464.417178,1000,36549.867123
546.496815,1000,36669.860875
561.392405,1000,36761.874743
543.356643,1000,36859.825412
602.054795,1000,36929.773926
886.013986,1000,37000.676939
216.467399,829,37059.244492
901.0,990,37127.103805
383.658621,992,37244.530392
884.732824,1000,37317.796601
650.0,1000,37392.503278
777.887789,1000,37462.213672
723.343849,1000,37529.369513
886.15917,1000,37598.148262
554.605263,1000,37717.341681
784.210526,1000,37786.155179
707.30897,1000,37860.813015
722.742475,1000,37932.577106
674.390244,1000,38005.751298
902.7,973,38077.229762
721.678322,1000,38201.241166
851.557093,1000,38275.489504
872.125436,1000,38347.640131
871.223022,1000,38420.551474
892.277992,1000,38493.210723
611.92053,1000,38564.960668
850.0,1000,38710.953235
546.103896,1000,38810.984659
863.369963,1000,38911.247095
849.324324,1000,39017.479652
801.315789,1000,39120.579274
335.087719,1000,39223.076596
907.9,921,39315.837093
551.245552,1000,39491.161623
903.2,968,39588.549866
-70.163158,650,39657.154053
773.333333,1000,39763.714874
700.613497,1000,39852.959522
900.6,994,39940.814646
650.0,1000,40088.62902
780.28169,1000,40195.091602
702.39521,1000,40285.277485
684.615385,1000,40371.397069
728.025478,1000,40440.889123
896.491228,1000,40509.809297
892.831541,1000,40578.847937
673.026316,1000,40698.536049
792.405063,1000,40766.453196
802.684564,1000,40835.301071
624.233983,1000,40904.552439
862.457338,1000,40972.788014
872.762646,1000,41040.999516
892.982456,1000,41161.093717
868.858131,1000,41229.10633
826.421405,1000,41297.658334
350.666667,1000,41367.00847
587.5,1000,41435.988969
687.878788,1000,41511.748007
473.816156,1000,41631.746188
750.993377,1000,41700.097958
910.1,899,41762.414634
790.977444,1000,41831.872433
769.127517,1000,41900.7156
734.951456,1000,41969.509526
198.036986,822,42027.551818
758.552632,1000,42144.579075
910.3,897,42204.871397
907.3,927,42268.024582
717.307692,1000,42337.765006
903.2,968,42403.978039
905.6,944,42469.239417
717.567568,1000,42590.833138
284.375,1000,42659.733724
674.907749,1000,42728.531806
808.759124,1000,42796.754815
578.44523,1000,42865.552322
797.233202,1000,42933.116442
884.126984,1000,43051.764854
689.115646,1000,43120.288951
902.5,975,43186.767679
635.483871,1000,43256.4485
835.849057,1000,43326.530616
657.462687,1000,43394.260254
903.4,966,43460.378191
904.1,959,43577.038213
901.5,985,43644.467977
739.74359,1000,43714.405228
902.1,979,43782.183281
707.073955,1000,43850.066101
833.993399,1000,43918.947452
395.468278,1000,44038.569465
831.654676,1000,44104.812234
-20.956989,931,44168.502354
762.962963,1000,44236.743307
51.515152,1000,44304.667345
909.6,904,44365.598565
656.838906,1000,44434.518292
347.336042,934,44550.186932
906.5,935,44614.332401
678.877888,1000,44683.119019
542.172524,1000,44751.632652
66.101695,1000,44819.787221
904.6,954,44884.861754
637.931034,1000,45005.663511
896.031746,1000,45072.988955
838.709677,1000,45142.723496
875.903614,1000,45210.344226
-23.862366,745,45260.99603
871.153846,1000,45330.43588
865.870307,1000,45446.192112
251.351351,1000,45514.174087
711.940299,1000,45582.070654
858.174905,1000,45650.552886
907.7,923,45713.40433
903.4,966,45779.055582
768.338558,1000,45847.636487
710.457516,1000,45967.27816
468.561873,1000,46035.652279
867.625899,1000,46104.478683
862.199313,1000,46173.472468
863.50365,1000,46242.581957
407.98722,1000,46311.220981
853.488372,1000,46429.240099
447.368421,1000,46497.969101
784.012539,1000,46566.88303
703.797468,1000,46635.924271
824.137931,1000,46703.664454
785.017422,1000,46772.201524
486.319218,1000,46892.578864
838.983051,1000,46961.687829
901.0,990,47029.627778
364.74359,1000,47097.725124
869.072165,1000,47166.227213
904.8,952,47231.600152
875.945017,1000,47300.50779
550.306748,1000,47419.260599
580.608365,1000,47487.041022
542.857143,1000,47555.337553
901.8,982,47622.280228
814.191419,1000,47690.931842
915.3,847,47746.437078
811.262799,1000,47864.915122
775.886525,1000,47933.433288
427.472527,1000,48001.772561
901.4,986,48069.240018
825.566343,1000,48138.351081
761.591696,1000,48206.692986
587.697161,1000,48324.588413
911.5,885,48385.10164
579.878049,1000,48453.03471
909.5,905,48515.810359
646.323529,1000,48584.210259
916.2,838,48641.622755
717.0347,1000,48710.129168
721.428571,1000,48829.671346
687.037037,1000,48898.493695
876.923077,1000,48967.184027
900.8,992,49035.449615
822.077922,1000,49104.210667
903.9,961,49169.785249
534.146341,1000,49288.059509
902.1,979,49355.051863
883.221477,1000,49420.726047
878.723404,1000,49489.636017
900.6,994,49558.861279
886.013986,1000,49628.244798
880.916031,1000,49748.160277
728.070175,1000,49817.036116
482.608696,1000,49885.527576
892.831541,1000,49954.539742
914.2,858,50014.110348
845.762712,1000,50082.535216
841.580756,1000,50150.527106
896.441281,1000,50271.122854
446.391753,1000,50340.119711
652.61324,1000,50408.216602
447.540984,1000,50477.60004
837.086093,1000,50546.386586
881.949458,1000,50615.103724
763.636364,1000,50734.109607
877.099237,1000,50802.757904
669.230769,1000,50871.019865
882.517483,1000,50939.879387
859.322034,1000,51008.156141
870.833333,1000,51076.211827
508.955224,1000,51196.140525
634.824281,1000,51265.668809
717.891374,1000,51334.878038
388.52459,1000,51404.609385
524.573379,1000,51473.752062
643.975904,1000,51543.244653
659.717314,1000,51612.556115
533.333333,1000,51734.605307
387.421384,1000,51803.729902
805.923345,1000,51872.741921
561.129568,1000,51941.435494
657.475083,1000,52009.34662
516.949153,1000,52077.087585
858.477509,1000,52194.947937
903.1,969,52261.84704
759.649123,1000,52331.122016
885.714286,1000,52400.477265
217.343173,1000,52468.693745
194.820717,1000,52536.468687
840.95941,1000,52656.146552
571.009772,1000,52725.050962
283.763838,1000,52793.49886
469.69697,1000,52863.314431
904.1,959,52929.210609
767.109635,1000,52997.004823
905.9,941,53061.612753
675.862069,1000,53182.789349
410.204082,1000,53250.802254
280.952381,1000,53319.793524
713.504823,1000,53388.474662
791.525424,1000,53456.699981
736.065574,1000,53525.089144
844.055944,1000,53647.850269
871.774194,1000,53716.080288
758.085809,1000,53785.093577
823.84106,1000,53853.794895
666.917293,1000,53922.185104
791.608392,1000,53990.451111
829.530201,1000,54113.147945
768.421053,1000,54182.036693
682.00692,1000,54250.547041
826.573427,1000,54319.629063
387.341772,1000,54388.776628
725.949367,1000,54457.51003
679.264214,1000,54579.607994
905.5,945,54644.247132
748.874598,1000,54712.955639
902.1,979,54778.224313
787.096774,1000,54847.358152
650.0,1000,54916.438574
706.557377,1000,54984.774484
779.194631,1000,55105.70404
654.266212,1000,55173.750979
827.835052,1000,55242.831317
797.959184,1000,55311.849261
910.6,894,55373.54215
896.108949,1000,55441.778451
606.840391,1000,55567.328245
551.006711,1000,55636.632852
802.621723,1000,55706.266951
834.85342,1000,55776.012585
770.175439,1000,55843.995222
719.188192,1000,55912.93077
719.078947,1000,56035.232377
901.4,986,56101.89776
690.47619,1000,56170.279313
798.305085,1000,56237.658158
226.860841,1000,56306.625087
866.666667,1000,56375.347888
703.571429,1000,56497.764059
848.905109,1000,56566.112621
724.915825,1000,56634.688469
726.366559,1000,56703.485176
672.108844,1000,56772.053643
877.777778,1000,56840.154751
697.342193,1000,56908.768246
796.428571,1000,57030.78336
675.362319,1000,57099.929833
764.468864,1000,57169.001366
595.340502,1000,57237.989743
750.0,1000,57306.741905
601.342282,1000,57375.379726
325.675676,1000,57497.510227
807.590759,1000,57566.087947
761.290323,1000,57635.102093
781.533101,1000,57702.103385
654.83871,1000,57770.693569
494.501718,1000,57839.40862
314.012739,1000,57960.759033
714.332248,1000,58029.530949
782.154882,1000,58097.459822
694.701987,1000,58166.658186
851.851852,1000,58234.530241
850.530035,1000,58302.444274
759.531773,1000,58424.747662
294.81268,1000,58493.447307
870.149254,1000,58562.140471
731.71521,1000,58630.964608
881.132075,1000,58699.439785
731.649832,1000,58767.526634
477.777778,1000,58837.149692
896.389892,1000,58960.5159
902.2,978,59028.448461
661.437908,1000,59098.754362
140.802676,1000,59167.086963
425.951557,1000,59235.286305
483.333333,1000,59305.123956
782.758621,1000,59426.158647
907.1,929,59489.875866
896.551724,1000,59559.239829
685.953177,1000,59628.367156
534.812287,1000,59696.943456
628.706625,1000,59765.536059
456.886228,1000,59888.00998
812.457912,1000,59956.303139
830.909091,1000,60024.882833
231.189711,1000,60094.087065
427.972028,1000,60162.801151
877.941176,1000,60231.026962
367.105263,1000,60300.022504
476.779026,1000,60419.753496
778.892734,1000,60487.995268
660.0,1000,60556.686763
766.013072,1000,60625.435417
279.182156,1000,60691.433703
392.857143,1000,60760.415706
900.0,1000,60880.295949
601.694915,1000,60949.386661
543.292683,1000,61019.479119
582.539683,1000,61088.272014
683.950617,1000,61156.703836
562.756598,1000,61225.869674
239.622642,1000,61345.886269
13.636364,1000,61414.095136
656.756757,1000,61483.178009
-16.666667,1000,61552.242289
586.084142,1000,61620.953081
419.732476,913,61683.881618
613.793103,1000,61803.472431
478.431373,1000,61871.999717
366.666667,1000,61940.696372
589.89547,1000,62010.062039
732.740214,1000,62078.038056
434.545455,1000,62145.778625
393.630573,1000,62214.768986
875.0,1000,62332.209263
719.875776,1000,62400.267827
616.666667,1000,62468.830086
775.796178,1000,62536.953809
682.894737,1000,62605.330751
807.749077,1000,62674.222586
657.679181,1000,62793.569318
905.2,948,62858.287273
548.484848,1000,62927.708244
902.8,972,62994.407754
367.625899,1000,63063.163557
840.711462,1000,63131.291316
807.801418,1000,63251.948526
591.666667,1000,63320.84609
776.582278,1000,63390.174684
841.634241,1000,63456.375551
601.886792,1000,63525.558271
742.767296,1000,63593.837649
741.750842,1000,63712.963481
